symbol,universe_name,start_date,end_date,source_type,source_url,confidence
NXPI,US_LARGE_CAP_TECH,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,medium
ON,US_LARGE_CAP_TECH,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,medium
ORCL,US_LARGE_CAP_TECH,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,medium
PANW,US_LARGE_CAP_TECH,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,medium
PLTR,US_LARGE_CAP_TECH,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,medium
PTC,US_LARGE_CAP_TECH,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,medium
Q,US_LARGE_CAP_TECH,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,medium
QCOM,US_LARGE_CAP_TECH,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,medium
ROP,US_LARGE_CAP_TECH,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,medium
SMCI,US_LARGE_CAP_TECH,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,medium
SNDK,US_LARGE_CAP_TECH,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,medium
SNPS,US_LARGE_CAP_TECH,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,medium
STX,US_LARGE_CAP_TECH,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,medium
SWKS,US_LARGE_CAP_TECH,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,medium
TDY,US_LARGE_CAP_TECH,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,medium
TEL,US_LARGE_CAP_TECH,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,medium
TER,US_LARGE_CAP_TECH,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,medium
TRMB,US_LARGE_CAP_TECH,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,medium
TXN,US_LARGE_CAP_TECH,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,medium
TYL,US_LARGE_CAP_TECH,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,medium
VRSN,US_LARGE_CAP_TECH,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,medium
WDAY,US_LARGE_CAP_TECH,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,medium
WDC,US_LARGE_CAP_TECH,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,medium
ZBRA,US_LARGE_CAP_TECH,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,medium
