symbol
AAPL
ACN
ADBE
ADI
ADSK
AKAM
AMAT
AMD
ANET
APH
APP
AVGO
CDNS
CDW
CIEN
COHR
CRM
CRWD
CSCO
CTSH
DDOG
EPAM
FFIV
FICO
FSLR
FTNT
GDDY
GEN
GLW
IBM
INTC
INTU
IT
JBL
KEYS
KLAC
LITE
LRCX
MCHP
MPWR
MSFT
MSI
MU
NOW
NVDA
NXPI
ON
ORCL
PANW
PLTR
PTC
Q
QCOM
ROP
SMCI
SNDK
SNPS
STX
SWKS
TDY
TEL
TER
TRMB
TXN
TYL
VRSN
WDAY
WDC
ZBRA
