symbol
AAL
AAON
ABM
ACA
ACM
ADP
AGCO
AGX
AIN
AIR
AIT
ALG
ALGT
ALK
ALLE
AME
AMTM
AMWD
AOS
APG
APOG
ARCB
ASTE
ATI
ATMU
AVAV
AWI
AXON
AYI
AZZ
BA
BAH
BCC
BCO
BLDR
BR
BRC
BWXT
CACI
CAR
CARR
CAT
CHRW
CLH
CMI
CNH
CNM
CNXC
CPRT
CR
CRS
CSGS
CSL
CSW
CSX
CTAS
CW
CWST
CXW
DAL
DCI
DE
DLX
DNOW
DOV
DXPE
DY
ECG
EFX
EME
EMR
ENS
EPAC
ESAB
ESE
ETN
EXLS
EXPD
EXPO
FAST
FBIN
FCN
FDX
FELE
FIX
FLR
FLS
FSS
FTV
FWRD
G
GATX
GBX
GD
GE
GEO
GEV
GFF
GGG
GNRC
GTES
GTLS
GVA
GWW
GXO
HAYW
HCSG
HII
HNI
HON
HTLD
HTZ
HUBB
HUBG
HWM
HXL
IEX
IIIN
IR
ITT
ITW
J
JBHT
JBLU
JBTM
JCI
KAI
KBR
KEX
KFY
KMT
KNX
KTOS
LDOS
LECO
LHX
LII
LMT
LQDT
LSTR
LUV
LYFT
LZ
MAN
MAS
MATX
MBC
MIDD
MLI
MLKN
MMM
MMS
MOG-A
MRCY
MRTN
MSA
MSM
MTZ
MWA
MYRG
NDSN
NOC
NPK
NPO
NSC
NSIT
NSP
NVRI
NVT
NX
NXT
OC
ODFL
OPLN
OSK
OTIS
PAYC
PAYX
PBI
PCAR
PCTY
PH
PNR
POWL
PRIM
PRLB
PSN
PWR
R
RBA
RBC
REZI
RHI
ROCK
ROK
ROL
RRX
RSG
RTX
RUN
RUSHA
RXO
SAIA
SAIC
SARO
SKYW
SNA
SNCY
SNDR
SPXC
SSD
ST
STRL
SWK
SXI
TDG
TEX
TILE
TKR
TNC
TREX
TRN
TRU
TT
TTC
TTEK
TXT
UAL
UBER
UFPI
ULS
UNF
UNP
UPS
UPWK
URI
VICR
VLTO
VMI
VRRM
VRSK
VRT
VSEC
VSTS
WAB
WCC
WERN
WM
WMS
WOR
WSC
WSO
WTS
WWD
XPO
XYL
ZWS
